age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
45 to 64 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,9,1.20347724692545e-5
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,127,1.6982401151059126e-4
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,123,1.6447522374647816e-4
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,101,1.3505689104385604e-4
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,49,6.552265011038561e-5
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,30,4.011590823084833e-5
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,6,8.023181646169666e-6
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,126,1.6848681456956298e-4
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,7,9.360378587197945e-6
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,248,3.316248413750129e-4
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,10,1.3371969410282777e-5
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,225,3.008693117313625e-4
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,169,2.2598628303377894e-4
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,143,1.9121916256704372e-4
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,61,8.156901340272494e-5
45 to 64 years,Female,New Brunswick,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,19,2.5406741879537275e-5
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,44,5.883666540524422e-5
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,40,5.348787764113111e-5
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,29,3.877871128982005e-5
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,37,4.9476286818046275e-5
45 to 64 years,Female,New Brunswick,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,10,1.3371969410282777e-5
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,67,8.95921950488946e-5
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,160,2.1395151056452443e-4
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,5,6.685984705141388e-6
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,204,2.7278817596976864e-4
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,6,8.023181646169666e-6
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,169,2.2598628303377894e-4
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,177,2.3668385856200517e-4
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,82,1.0965014916431878e-4
45 to 64 years,Female,New Brunswick,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born in Canada,15,2.0057954115424164e-5
45 to 64 years,Female,New Brunswick,Bachelor's degree,"Less than $25,000",Born outside Canada,2,2.6743938820565553e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",Born in Canada,29,3.877871128982005e-5
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,6,8.023181646169666e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",Born in Canada,45,6.0173862346272496e-5
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born in Canada,45,6.0173862346272496e-5
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$10,000 to $149,999",Born in Canada,96,1.2837090633871466e-4
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$150,000 and more",Born in Canada,93,1.2435931551562984e-4
45 to 64 years,Female,New Brunswick,Bachelor's degree,"$150,000 and more",Born outside Canada,6,8.023181646169666e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,7,9.360378587197945e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,15,2.0057954115424164e-5
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,33,4.412749905393317e-5
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,3,4.011590823084833e-6
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,48,6.418545316935733e-5
45 to 64 years,Female,New Brunswick,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,4,5.348787764113111e-6
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,1044,0.001396033606433522
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,177,2.3668385856200517e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,1064,0.0014227775452540874
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,213,2.848229484390231e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,804,0.0010751063405867352
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,180,2.4069544938508998e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,482,6.445289255756298e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,108,1.4441726963105398e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,332,4.439493844213882e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,83,1.1098734610534705e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,112,1.497660573951671e-4
45 to 64 years,Female,Quebec,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,25,3.3429923525706946e-5
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,728,9.734793730685862e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,131,1.751727992747044e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,1524,0.002037888138127095
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,216,2.8883453926210797e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,1554,0.0020780040463579436
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,188,2.513930249133162e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,1198,0.0016019619353518767
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,142,1.8988196562601543e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,1151,0.0015391136791235477
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,112,1.497660573951671e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,579,7.742370288553728e-4
45 to 64 years,Female,Quebec,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,55,7.354583175655527e-5
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,568,7.595278625040617e-4
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,73,9.761537669506427e-5
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,990,0.001323824971617995
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,125,1.6714961762853472e-4
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,882,0.001179407701986941
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,141,1.8854476868498715e-4
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,765,0.0010229556598866324
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,94,1.256965124566581e-4
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,794,0.0010617343711764526
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,59,7.889461952066839e-5
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,339,4.5330976300858616e-4
45 to 64 years,Female,Quebec,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,24,3.2092726584678664e-5
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,493,6.592380919269409e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,97,1.2970810327974294e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,1102,0.001473591029013162
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,195,2.6075340350051416e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,1283,0.0017156236753392803
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,194,2.594162065594859e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,1110,0.0014842886045413881
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,156,2.0860272280041133e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,1639,0.002191665786345347
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,189,2.5273022185434447e-4
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,1201,0.0016059735261749616
45 to 64 years,Female,Quebec,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,90,1.2034772469254499e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"Less than $25,000",Born in Canada,196,2.6209060044154244e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"Less than $25,000",Born outside Canada,92,1.2302211857460156e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$25,000 to $49,999",Born in Canada,296,3.958102945443702e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,127,1.6982401151059126e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$50,000 to $74,999",Born in Canada,460,6.151105928730077e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,119,1.5912643598236506e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$75,000 to $99,999",Born in Canada,538,7.194119542732134e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,98,1.3104530022077122e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$10,000 to $149,999",Born in Canada,859,0.0011486521723432905
45 to 64 years,Female,Quebec,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,137,1.8319598092087405e-4
45 to 64 years,Female,Quebec,Bachelor's degree,"$150,000 and more",Born in Canada,1183,0.0015819039812364525
45 to 64 years,Female,Quebec,Bachelor's degree,"$150,000 and more",Born outside Canada,134,1.791843900977892e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,70,9.360378587197944e-5
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,53,7.087143787449872e-5
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,90,1.2034772469254499e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,58,7.75574225796401e-5
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,136,1.8185878397984577e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,64,8.558060422580977e-5
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,210,2.8081135761593833e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,74,9.895257363609255e-5
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,335,4.4796097524447303e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,121,1.618008298644216e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,657,8.785383902555785e-4
45 to 64 years,Female,Quebec,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,130,1.738356023336761e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,801,0.0010710947497636503
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,615,8.223761187323908e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,761,0.0010176068721225193
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,721,9.641189944813882e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,580,7.755742257964011e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,570,7.622022563861183e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,420,5.616227152318767e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born outside Canada,355,4.7470491406503856e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,427,5.709830938190745e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born outside Canada,447,5.977270326396402e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,195,2.6075340350051416e-4
45 to 64 years,Female,Ontario,Less than high school diploma or its equivalent,"$150,000 and more",Born outside Canada,190,2.5406741879537275e-4
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,1054,0.0014094055758438048
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,676,9.039451321351157e-4
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,1637,0.0021889913924632905
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,982,0.0013131273960897687
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,1804,0.002412303281615013
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,868,0.001160686944812545
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,1605,0.0021462010903503855
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,703,9.400494495428793e-4
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,2094,0.0028000903945132136
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,862,0.0011526637631663753
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,1696,0.002267886011983959
45 to 64 years,Female,Ontario,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,608,8.130157401451928e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,191,2.5540461573640103e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born outside Canada,100,1.3371969410282778e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,238,3.182528719647301e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born outside Canada,144,1.92556359508072e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,233,3.115668872595887e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born outside Canada,138,1.8453317786190233e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,201,2.687765851466838e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born outside Canada,104,1.3906848186694088e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,224,2.995321147903342e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born outside Canada,139,1.858703748029306e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,143,1.9121916256704372e-4
45 to 64 years,Female,Ontario,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born outside Canada,81,1.083129522232905e-4
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,848,0.0011339430059919796
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,483,6.458661225166581e-4
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,1391,0.0018600409449703343
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,751,0.0010042349027122365
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,1664,0.002225095709871054
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,841,0.0011245826274047816
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,1588,0.002123468742352905
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,731,9.77490963891671e-4
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,2488,0.003326945989278355
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,998,0.0013345225471462212
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,2557,0.003419212578209306
45 to 64 years,Female,Ontario,University certificate or diploma below the bachelor's level,"$150,000 and more",Born outside Canada,846,0.001131268612109923
45 to 64 years,Female,Ontario,Bachelor's degree,"Less than $25,000",Born in Canada,277,3.7040355266483295e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"Less than $25,000",Born outside Canada,335,4.4796097524447303e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$25,000 to $49,999",Born in Canada,354,4.7336771712401033e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,492,6.579008949859126e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$50,000 to $74,999",Born in Canada,465,6.217965775781491e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,474,6.338313500474037e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$75,000 to $99,999",Born in Canada,678,9.066195260171723e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,520,6.953424093347044e-4
45 to 64 years,Female,Ontario,Bachelor's degree,"$10,000 to $149,999",Born in Canada,1162,0.0015538228454748586
45 to 64 years,Female,Ontario,Bachelor's degree,"$10,000 to $149,999",Born outside Canada,805,0.0010764435375277635
45 to 64 years,Female,Ontario,Bachelor's degree,"$150,000 and more",Born in Canada,2332,0.0031183432664779434
45 to 64 years,Female,Ontario,Bachelor's degree,"$150,000 and more",Born outside Canada,966,0.0012917322450333162
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,62,8.290621034375322e-5
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,177,2.3668385856200517e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,74,9.895257363609255e-5
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,227,3.03543705613419e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,133,1.7784719315676092e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born outside Canada,207,2.767997667928535e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,250,3.3429923525706945e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,218,2.9150893314416453e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,466,6.231337745191774e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,439,5.870294571114139e-4
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,1191,0.0015926015567646788
45 to 64 years,Female,Ontario,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,723,9.667933883634448e-4
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,124,1.6581242068750644e-4
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,25,3.3429923525706946e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,124,1.6581242068750644e-4
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,32,4.2790302112904885e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,81,1.083129522232905e-4
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born outside Canada,30,4.011590823084833e-5
45 to 64 years,Female,Manitoba,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,59,7.889461952066839e-5
