age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,110,1.4709166351311055e-4
0 to 29 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,8,1.0697575528226221e-5
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,11,1.4709166351311055e-5
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,7,9.360378587197945e-6
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,14,1.872075717439589e-5
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,6,8.023181646169666e-6
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,55,7.354583175655527e-5
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,89,1.1901052775151671e-4
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,65,8.691780116683805e-5
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,47,6.284825622832905e-5
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,57,7.622022563861182e-5
0 to 29 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,32,4.2790302112904885e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born in Canada,57,7.622022563861182e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born outside Canada,14,1.872075717439589e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",Born in Canada,54,7.220863481552699e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",Born outside Canada,6,8.023181646169666e-6
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",Born in Canada,44,5.883666540524422e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",Born in Canada,46,6.151105928730078e-5
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$75,000 to $99,999",Born outside Canada,3,4.011590823084833e-6
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$10,000 to $149,999",Born in Canada,77,1.0296416445917738e-4
0 to 29 years,Female,Nova Scotia,Bachelor's degree,"$150,000 and more",Born in Canada,58,7.75574225796401e-5
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,2,2.6743938820565553e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born outside Canada,4,5.348787764113111e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born in Canada,9,1.20347724692545e-5
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$25,000 to $49,999",Born outside Canada,4,5.348787764113111e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,10,1.3371969410282777e-5
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,4,5.348787764113111e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,16,2.1395151056452443e-5
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
0 to 29 years,Female,Nova Scotia,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,8,1.0697575528226221e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,55,7.354583175655527e-5
0 to 29 years,Female,New Brunswick,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,4,5.348787764113111e-6
